seller_sku,item_id_US,item_id_CA,BS_SKU,B_SKU,B_NZ_SKU
186FB_S_VAR,,6A3LPMVW3PTT,,,
190901,2295167977,3WRLVL1DFY3A,,190901,190901
190901,2295167977,3WRLVL1DFY3A,,190901,190901
191912,3977787159,0TJR2ISGJ4OQ,,191912,191912
208B12157,3608274072,47AGZXC6KEYW,,12157 208B,12157 208B
2111,3723206456,,,2111,2111
2111,3723206456,,,2111,2111
2131,3731733229,,,2131,2131
2131,3731733229,,,2131,2131
2152,2748671264,,,2152,2152
2152,2748671264,,,2152,2152
2161W,2921118834,,,2161W,2161W
21887,1512073556,4EA3SRMXY642,,21887,21887
2191,2817363438,,,2191,2191
2191,2817363438,,,2191,2191
2194W,1897153635,,,2194W,2194W
2201,3745481872,,,2201,2201
2201,3745481872,,,2201,2201
220B27182,3970622939,0SB7LP1KEX7D,,27182 220B,27182 220B
220B27191,2122141054,1FE12ECGC20N,,27191 220B,27191 220B
2210W,2570620332,,,2210W,2210W
2211,3286627461,,,2211,2211
2211,3286627461,,,2211,2211
221B44300,2687686734,5Z8PSNO6G3PH,,44300 251B,44300 251B
222B49526,2280871009,1GRDCPQSRP6T,,,
223B38284,3088585957,0WLQH80E7H61,,38284 223B,38284 223B
2257W,1407769083,,,2257W,2257W
2264,2998363826,,,2264,2264
2264,2998363826,,,2264,2264
227B55714,2541725028,3ERSE3EMSY84,,55714 227B,55714 227B
2301,3106584198,,,2301,2301
2302,2791774378,,,2302,2302
2302,2791774378,,,2302,2302
2343W,2704866200,,,2343W,2343W
2357,3373144908,,,2357,2357
2357,3373144908,,,2357,2357
236B55323,2255872661,5ZY06EKNIM3S,,55323 236B,55323 236B
2371,2491737488,,,2371,2371
2371,2491737488,,,2371,2371
237SR_1,5294218404,281YN85BJ42D,,,
237SR_1_VAR,,59XVINZHWXFA,,,
237SR_6,5239885403,2CHIC3CCUYS3,,,
237SR_6_VAR,,55NGKBWDE97O,,,
237SR_S,5300424673,3Q10W5DZEYIS,,,
237SR_S_VAR,,5WTPRTJIDFNL,,,
2382,3296147616,,,2382,2382
2382,3296147616,,,2382,2382
2411,2548366227,,,2411,2411
2411,2548366227,,,2411,2411
241B63542,2489403339,6UQWAZ6LCJS7,,63542 241B,63542 241B
241PG_1,5293209263,2Y9GXEVLUA6U,,,
241PG_1_VAR,,4BKSIZWLFO5C,,,
241PG_6,5242031591,13KHSZINS5ZF,,,
241PG_6_VAR,,2S5ZYXH1EDCI,,,
241PG_S,5295163013,108UMRIEDMSK,,,
241PG_S_VAR,,39EQEIZ4XRNC,,,
242PP_1,5286412228,20P2BI0JGP8W,,,
242PP_1_VAR,,4SL6BRNP5HCL,,,
242PP_6,5288420412,3RL75LBRV57K,242PP,,
242PP_6_VAR,,4O0FODXLB99C,,,
242PP_S,5236988563,3VP8ED95OLGH,,,
242PP_S_VAR,,58FR97GVS6NM,,,
243FG_1,5293005430,346R7NUA67IW,,,
243FG_1_VAR,,4JZPQZ6U3TS4,,,
243FG_6,5233826000,5V3B0N090R0K,,,
243FG_6_VAR,,4ITT0N56K85V,,,
243FG_S,5286412227,5OVGZK1E9CU8,,,
243FG_S_VAR,,7KSENH0PPV2E,,,
2440,3483347006,,,2440,2440
2440,3483347006,,,2440,2440
2447W,3920013609,,,2447W,2447W
244WG_1,5290752496,12T8TBMVKUN9,,,
244WG_1_VAR,,5W2M9WROJ22R,,,
244WG_6,5231782005,7GD6ZID9GYUD,,,
244WG_6_VAR,,5WUFJYJ4VD1H,,,
244WG_S,5287973608,4FAJXKOF7IK4,,,
244WG_S_VAR,,2ZY3F8JT17GJ,,,
2459,1358188918,,,2459,2459
245WB_1,5227797737,75CNDYYIKOV7,245WB,,
245WB_1_VAR,,42L8T4E8QZF6,,,
245WB_6,5239939662,6EOZ0EK0KV4W,,,
245WB_6_VAR,,28BHF80MNFLU,,,
245WB_S,5243287200,1FTDQJLKF5V8,,,
245WB_S_VAR,,48UKZCEAWQUT,,,
2463,3392666503,,,2463,2463
2463,3392666503,,,2463,2463
2472,1941576886,,,2472,2472
2472,1941576886,,,2472,2472
2488,3497355056,,,2488,2488
2488,3497355056,,,2488,2488
2489,3192491561,,,2489,2489
2489,3192491561,,,2489,2489
248GR_1,5242081179,5OQSOFJFZ8TL,,,
248GR_1_VAR,,1RLJ4Z0UQEZU,,,
248GR_6,5295163014,2LPXQ1W02POS,,,
248GR_6_VAR,,1J905U6WET6Q,,,
248GR_S,5286412226,61MV1Y9FLAQV,,,
248GR_S_VAR,,2PVCWZSXYFKD,,,
2490,3839429991,,,2490,2490
2490,3839429991,,,2490,2490
2666,3920238122,,,2666,2666
2666,3920238122,,,2666,2666
2667,3519852102,,,2667,2667
2667,3519852102,,,2667,2667
26999,2452598163,1ZOAO3GAMO66,,26999,26999
26999,2452598163,1ZOAO3GAMO66,,26999,26999
2713,3244599368,,,2713,2713
2713,3244599368,,,2713,2713
27717,3806065628,284O6HQ321JZ,,27717,27717
29154B,2736378165,771K4DM0UZ9G,,,
29165,2701141454,0WHMFVQEX2UU,,29165,29165
29169,3446836939,4Q5LGQ2LDGT2,,29169,29169
29170,1259811952,1S8VTKC680H2,,,
29171,2338081819,0Y0T6BBG72BC,,29171,29171
29174,1703308435,5V42WP6833MW,,29174,29174
29174,1703308435,5V42WP6833MW,,29174,29174
29177,1658956147,53FBQ7AAWXPH,,29177,29177
29423,1236997630,6BQE0VHP3A9U,,29423,29423
29424,3238392274,1RE17VU6NNRQ,,,
301-1004B,3146443018,5COEYJ3ODTCO,,301-1004 B,301-1004 B
3011003B,3914527181,1O0BW2YZYB7U,,301-1003 B,301-1003 B
30110139,3416866007,16GKGET344PZ,,30110139,30110139
30110139,3416866007,16GKGET344PZ,,30110139,30110139
30110340,2990481012,1I15BRHWXTAJ,,30110340,30110340
30110341,2955126742,6AGFJPBGCXTX,,30110341,30110341
30116271,3477298889,2OK204PC89O0,,30116271,30116271
30150,1952195684,5LURD8QJH06B,,30150,30150
30150,1952195684,5LURD8QJH06B,,30150,30150
30371629,3013121410,6BD39BCTXTZ7,,30371629 B,30371629 B
30385382B,3561477025,5BOZSO65CGKW,,30385382 B,30385382 B
30646178B,3883690740,6QLN0DBSI0AQ,,,
30662330,3446095324,1FCAC2L3N0MV,,30662330,30662330
30662330,3446095324,1FCAC2L3N0MV,,30662330,30662330
30682430,3246596149,4TGOCEFABK4G,,30682430,30682430
30682540,3432358096,0YXJL4KCA1TG,,30682540,30682540
30868160,3293904796,4W5NCP6AGECM,,30868160,30868160
30882520,2191443116,3UOL3EBDOWDF,,30882520,30882520
30882610,3592880136,3OMQQCIFY296,,30882610,30882610
30882610,3592880136,3OMQQCIFY296,,30882610,30882610
30882720,1428954017,6E6AN4TNIC4N,,30882720,30882720
30896220,1431097617,450IYT9VL8BQ,,30896220,30896220
30896220,1431097617,450IYT9VL8BQ,,30896220,30896220
30896250,1337390493,3C80F8S2HHT0,,30896250,30896250
30896710,3167247534,2KM2SKZTIHR4,,30896710,30896710
30902310,3722504090,2QGKZSWUXVPD,,30902310,30902310
30902310,3722504090,2QGKZSWUXVPD,,30902310,30902310
30902340,2777319889,5AFIVB7LW16A,,30902340,30902340
30912783B,2512927602,6XZURVHS5DK3,,30912783 B,30912783 B
30966450,3279542119,5IE3DF9X5AVB,,,
30972110,2199238513,70KPULLZRGPW,,30972110,30972110
30982420,1206176627,453DPJ2A3WFC,,30982420,30982420
