seller_sku,status,BS_SKU,B_SKU,B_NZ_SKU
EHD_WP_BRIX_UNLIMITED_6703_11,Active,6703-11,,
EHD_WP_SPOT_3_2211_24,Active,,,
EHD_WP_SPOT_3_2211_24_SAMPLE,Active,2211-24S,,
EHD_WP_SPOT_3_2211_86,Active,22118-6,,
EHD_WP_SPOT_3_2211_86_SAMPLE,Active,22118-6S,,
EHD_WP_SPOT_3_2309_28_SAMPLE,Active,2309-28S,,
EHD_WP_SPOT_3_2309_28,Active,2309-28,,
EHD_WP_SPOT_3_2309_42,Active,2309-42,,
EHD_WP_SPOT_3_2309_42_SAMPLE,Active,2309-42S,,
EHD_WP_SPOT_3_30548_1_SAMPLE,Active,30548-1S,,
EHD_WP_SPOT_3_30548_1,Active,30548-1,,
EHD_WP_SPOT_3_30913_6,Active,,,
EHD_WP_SPOT_3_30913_6_SAMPLE,Active,,,
EHD_WP_SPOT_3_30914_3,Active,30914-3,,
EHD_WP_SPOT_3_30914_3_SAMPLE,Active,30914-3S,,
EHD_WP_SPOT_3_30953_2,Active,,,
EHD_WP_SPOT_3_30953_2_SAMPLE,Active,,,
EHD_WP_SPOT_3_30954_9,Active,,,
EHD_WP_SPOT_3_30962_4_SAMPLE,Active,,,
EHD_WP_SPOT_3_30962_4,Active,,,
EHD_WP_SPOT_3_30963_1,Active,30963-1,,
EHD_WP_SPOT_3_30963_1_SAMPLE,Active,30963-1S,,
EHD_WP_SPOT_3_89193_8,Active,89193-8,,
EHD_WP_SPOT_3_89193_8_SAMPLE,Active,,,
EHD_WP_SPOT_3_93790_1,Active,,,
EHD_WP_SPOT_3_93790_1_SAMPLE,Active,,,
EHD_WP_SPOT_3_93790_4_SAMPLE,Active,,,
EHD_WP_SPOT_3_93790_4,Active,,,
EHD_WP_SPOT_3_93791_1,Active,93791-1,,
EHD_WP_SPOT_3_93792_1,Active,,,
EHD_WP_SPOT_3_93792_1_SAMPLE,Active,,,
EHD_WP_SPOT_3_9386_26,Active,9386-26,,
EHD_WP_SPOT_3_9386_26_SAMPLE,Active,,,
EHD_WP_SPOT_3_2965_11_SAMPLE,Active,2965-11S,,
EHD_WP_SPOT_3_2965_11,Active,2965-11,,
EHD_WP_SPOT_3_2965_28,Active,2965-28,,
EHD_WP_SPOT_3_2965_28_SAMPLE,Active,,,
EHD_WP_SPOT_3_30287_1,Active,30287-1,,
EHD_WP_SPOT_3_30287_1_SAMPLE,Active,30287-1S,,
EHD_WP_SPOT_3_30287_2_SAMPLE,Active,30287-2S,,
EHD_WP_SPOT_3_30287_2,Active,30287-2,,
EHD_WP_SPOT_3_30287_3,Discontinued,,,
EHD_WP_SPOT_3_30287_3_SAMPLE,Discontinued,,,
EHD_WP_SPOT_3_3032_19,Active,3032-19,,
EHD_WP_SPOT_3_3032_40,Active,,,
EHD_WP_SPOT_3_3032_19_SAMPLE,Active,,,
EHD_WP_SPOT_3_3032_40_SAMPLE,Active,3032-40S,,
EHD_WP_SPOT_3_3032_95_SAMPLE,Active,,,
EHD_WP_SPOT_3_3032_95,Active,3032-95,,
EHD_WP_SPOT_3_3032_33,Active,30323-3,,
EHD_WP_SPOT_3_3032_33_SAMPLE,Active,30323-3S,,
EHD_WP_SPOT_3_30546_1,Discontinued,,,
EHD_WP_SPOT_3_30546_1_SAMPLE,Discontinued,,,
EHD_WP_SPOT_3_30546_2,Discontinued,,,
EHD_WP_SPOT_3_30546_2_SAMPLE,Discontinued,,,
EHD_WP_SPOT_3_30547_1,Discontinued,30547-1,,
EHD_WP_SPOT_3_30547_2,Active,30547-2,,
EHD_WP_SPOT_3_30547_1_SAMPLE,Discontinued,30547-1S,,
EHD_WP_SPOT_3_30547_2_SAMPLE,Active,30547-2S,,
EHD_WP_SPOT_3_30547_3_SAMPLE,Active,30547-3S,,
EHD_WP_SPOT_3_30547_3,Active,30547-3,,
EHD_WP_SPOT_3_30549_1,Active,,,
EHD_WP_SPOT_3_30549_1_SAMPLE,Active,,,
EHD_WP_SPOT_3_30550_1,Active,,,
EHD_WP_SPOT_3_305550_1_SAMPLE,Active,,,
EHD_WP_SPOT_3_30550_2,Active,,,
EHD_WP_SPOT_3_305550_2_SAMPLE,Active,,,
EHD_WP_SPOT_3_30553_1,Active,30553-1,,
EHD_WP_SPOT_3_305553_1_SAMPLE,Active,,,
EHD_WP_SPOT_3_30599_1,Active,,,
EHD_WP_SPOT_3_30599_1_SAMPLE,Active,,,
EHD_WP_SPOT_3_30599_2,Active,30599-2,,
EHD_WP_SPOT_3_30599_2_SAMPLE,Active,30599-2S,,
EHD_WP_SPOT_3_30599_3_SAMPLE,Active,30599-3S,,
EHD_WP_SPOT_3_30599_4,Active,30599-4,,
EHD_WP_SPOT_3_30600_1,Active,30600-1,,
EHD_WP_SPOT_3_30599_4_SAMPLE,Active,,,
EHD_WP_SPOT_3_30600_1_SAMPLE,Active,30600-1S,,
EHD_WP_SPOT_3_30600_2,Active,30600-2,,
EHD_WP_SPOT_3_30600_2_SAMPLE,Active,30600-2S,,
EHD_WP_SPOT_3_30912_9,Active,30912-9,,
EHD_WP_SPOT_3_30912_9_SAMPLE,Active,30912-9S,,
EHD_WP_SPOT_3_30954_9_SAMPLE,Active,,,
EHD_WP_SPOT_3_5517_19,Active,5517-19,,
EHD_WP_SPOT_3_5517_19_SAMPLE,Active,,,
EHD_WP_SPOT_3_93790_2_SAMPLE,Active,93790-2S,,
EHD_WP_SPOT_3_93790_2,Active,93790-2,,
EHD_WP_SPOT_3_93791_1_SAMPLE,Active,93791-1S,,
EHD_WP_SPOT_3_93792_2,Active,93792-2,,
EHD_WP_SPOT_3_93792_2_SAMPLE,Active,,,
EHD_WP_SPOT_3_93826_1,Active,93826-1,,
EHD_WP_SPOT_3_93826_1_SAMPLE,Active,,,
EHD_WP_SPOT_3_3032_57_SAMPLE,Active,,,
EHD_WP_SPOT_3_3032_57,Active,3032-57,,
EHD_WP_SPOT_3_3032_88,Active,3032-88,,
EHD_WP_SPOT_3_3032_88_SAMPLE,Active,,,
EHD_WP_SPOT_3_30599_3,Active,,,
EHD_WP_DEKORA_NATUR_6_1563_10_SAMPLE,Active,1563-10S,,
EHD_WP_DEKORA_NATUR_6_1563_10,Active,1563-10,,
EHD_WP_DEKORA_NATUR_6_2040_42,Active,2040-42,,
EHD_WP_DEKORA_NATUR_6_2040_42_SAMPLE,Active,2040-42S,,
EHD_WP_DEKORA_NATUR_6_3438_26,Active,,,
EHD_WP_DEKORA_NATUR_6_3438_26_SAMPLE,Active,3438-26S,,
EHD_WP_DEKORA_NATUR_6_5604_14,Active,,,
EHD_WP_DEKORA_NATUR_6_5604_14_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_5779_24,Active,5779-24,,
EHD_WP_DEKORA_NATUR_6_5779_24_SAMPLE,Active,5779-24S,,
EHD_WP_DEKORA_NATUR_6_6077_20,Active,6077-20,,
EHD_WP_DEKORA_NATUR_6_6077_20_SAMPLE,Active,6077-20S,,
EHD_WP_DEKORA_NATUR_6_6351_36,Active,6351-36,,
EHD_WP_DEKORA_NATUR_6_6351_36_SAMPLE,Active,6351-36S,,
EHD_WP_DEKORA_NATUR_6_6351_74_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_6351_74,Active,,,
EHD_WP_DEKORA_NATUR_6_6351_98,Active,,,
EHD_WP_DEKORA_NATUR_6_6351_98_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_6621_18,Active,,,
EHD_WP_DEKORA_NATUR_6_6621_18_SAMPLE,Active,6621-18S,,
EHD_WP_DEKORA_NATUR_6_6621_25,Active,,,
EHD_WP_DEKORA_NATUR_6_6621_25_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_6622_17,Active,6622-17,,
EHD_WP_DEKORA_NATUR_6_6622_17_SAMPLE,Active,6622-17S,,
EHD_WP_DEKORA_NATUR_6_6630_16,Active,,,
EHD_WP_DEKORA_NATUR_6_6630_16_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_6632_14,Active,6632-14,,
EHD_WP_DEKORA_NATUR_6_6632_14_SAMPLE,Active,6632-14S,,
EHD_WP_DEKORA_NATUR_6_6643_10,Active,,,
EHD_WP_DEKORA_NATUR_6_6643_10_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_6651_19_SAMPLE,Active,6651-19S,,
EHD_WP_DEKORA_NATUR_6_6651_19,Active,6651-19,,
EHD_WP_DEKORA_NATUR_6_7372_12,Active,7372-12,,
EHD_WP_DEKORA_NATUR_6_7372_12_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_7798_16,Active,,,
EHD_WP_DEKORA_NATUR_6_7798_16_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_7798_30,Active,,,
EHD_WP_DEKORA_NATUR_6_7798_30_SAMPLE,Active,7798-30S,,
EHD_WP_DEKORA_NATUR_6_7798_47,Active,7798-47,,
EHD_WP_DEKORA_NATUR_6_7798_47_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_7799_15,Active,7799-15,,
EHD_WP_DEKORA_NATUR_6_7799_15_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_7981_21,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_7981_21_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_8344_16,Active,8344-16,,
EHD_WP_DEKORA_NATUR_6_8344_16_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_8345_15,Active,8345-15,,
EHD_WP_DEKORA_NATUR_6_8345_15_SAMPLE,Active,8345-15S,,
EHD_WP_DEKORA_NATUR_6_8560_12,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_8560_12_SAMPLE,Discontinued,,,
EHD_WP_DEKORA_NATUR_6_8595_32,Active,8595-32,,
EHD_WP_DEKORA_NATUR_6_8595_32_SAMPLE,Active,8595-32S,,
EHD_WP_DEKORA_NATUR_6_8610_16,Active,8610-16,,
EHD_WP_DEKORA_NATUR_6_8610_16_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9117_11,Active,9117-11,,
EHD_WP_DEKORA_NATUR_6_9117_11_SAMPLE,Active,9117-11S,,
EHD_WP_DEKORA_NATUR_6_9117_35_SAMPLE,Active,,,
EHD_WP_DEKORA_NATUR_6_9547_01,Active,9547-01,,
EHD_WP_DEKORA_NATUR_6_9547_01_SAMPLE,Active,9547-01S,,
EHD_WP_DEKORA_NATUR_6_9547_02,Active,9547-02,,
EHD_WP_DEKORA_NATUR_6_9547_02_SAMPLE,Active,9547-02S,,
EHD_WP_DEKORA_NATUR_6_9583_32,Active,9583-32,,
EHD_WP_DEKORA_NATUR_6_9583_32_SAMPLE,Active,9583-32S,,
EHD_WP_DEKORA_NATUR_6_9583_42,Active,9583-42,,
EHD_WP_DEKORA_NATUR_6_9583_42_SAMPLE,Active,9583-42S,,
EHD_WP_DEKORA_NATUR_6_9583_51,Active,9583-51,,
EHD_WP_DEKORA_NATUR_6_9583_51_SAMPLE,Active,9583-51S,,
EHD_WP_DEKORA_NATUR_6_9583_52,Active,,,
EHD_WP_DEKORA_NATUR_6_9583_52_SAMPLE,Active,9583-52S,,
EHD_WP_DEKORA_NATUR_6_9589_62_SAMPLE,Active,9589-62S,,
EHD_WP_DEKORA_NATUR_6_9589_62,Active,9589-62,,
EHD_WP_DEKORA_NATUR_6_9589_71,Active,9589-71,,
EHD_WP_DEKORA_NATUR_6_9592_01_SAMPLE,Active,9592-01S,,
EHD_WP_DEKORA_NATUR_6_9592_01,Active,9592-01,,
EHD_WP_DEKORA_NATUR_6_9592_02,Active,9592-02,,
EHD_WP_DEKORA_NATUR_6_9592_03,Active,9592-03,,
EHD_WP_DEKORA_NATUR_6_9592_03_SAMPLE,Active,9592-03S,,
EHD_WP_DEKORA_NATUR_6_9592_04,Active,9592-04,,
EHD_WP_DEKORA_NATUR_6_9592_04_SAMPLE,Active,9592-04S,,
EHD_WP_DEKORA_NATUR_6_9593_21,Active,9593-21,,
